,name,community
0,Albania,2
1,Bahamas,2
2,Andorra,5
3,British Virgin Islands,1
4,Cayman Islands,4
5,Costa Rica,5
6,Hong Kong,4
7,Nevada,2
8,Niue,5
9,Panama,5
10,Samoa,4
11,Seychelles,4
12,United Kingdom,1
13,Uruguay,1
14,Angola,1
15,Bermuda,4
16,Antigua and Barbuda,0
17,Barbados,0
18,Saint Kitts and Nevis,4
19,Argentina,5
20,New Zealand,4
21,Aruba,1
22,British Anguilla,4
23,Australia,4
24,Cook Islands,1
25,Isle of Man,2
26,Austria,4
27,Azerbaijan,2
28,Cyprus,1
29,Malta,1
30,Netherlands Antilles,4
31,Wyoming,2
32,Bahrain,1
33,United Arab Emirates,4
34,Bangladesh,1
35,Belarus,1
36,Belgium,5
37,Belize,5
38,Mauritius,1
39,Jersey,1
40,Liberia,0
41,Liechtenstein,1
42,Netherlands,0
43,Singapore,1
44,Turks and Caicos Islands,0
45,United States,2
46,Bolivia,5
47,Botswana,4
48,Brazil,5
49,State of Delaware,4
50,Brunei,1
51,Bulgaria,4
52,Cameroon,4
53,Canada,0
54,Gibraltar,1
55,Grenada,4
56,Guernsey,1
57,Luxembourg,5
58,Marshall Islands,0
59,Saint Vincent and the Grenadines,0
60,US Virgin Islands,0
61,Central African Republic,1
62,Chad,1
63,Chile,5
64,China,4
65,Colombia,5
66,Croatia,0
67,Cuba,1
68,Curaçao,0
69,Czech Republic,1
70,Côte d'Ivoire,1
71,Denmark,2
72,Djibouti,5
73,Dominica,5
74,Dominican Republic,5
75,Ecuador,5
76,Egypt,5
77,El Salvador,5
78,Estonia,1
79,Fiji,1
80,Finland,2
81,France,1
82,French Guiana,1
83,Georgia,4
84,Germany,5
85,Ghana,2
86,Greece,5
87,Guam,1
88,Guatemala,5
89,Guyana,0
90,Haiti,2
91,Honduras,5
92,Labuan,0
93,Thailand,1
94,Hungary,4
95,Iceland,1
96,India,4
97,Indonesia,1
98,Iran,5
99,Ireland,1
100,Israel,4
101,Italy,4
102,Jamaica,0
103,Japan,4
104,Jordan,1
105,Kazakhstan,1
106,Kenya,1
107,Kuwait,5
108,Kyrgyzstan,2
109,Latvia,1
110,Lebanon,4
111,Lesotho,4
112,Libya,3
113,Lithuania,5
114,Macao,1
115,Macedonia,4
116,Malawi,1
117,Malaysia,0
118,Mali,1
119,Mexico,5
120,Moldova,1
121,Monaco,5
122,Mongolia,1
123,Montenegro,1
124,Morocco,4
125,Mozambique,4
126,Namibia,4
127,Nauru,5
128,Nicaragua,5
129,Nigeria,2
130,Norway,4
131,Oman,1
132,Pakistan,2
133,Paraguay,5
134,Peru,5
135,Philippines,4
136,Poland,2
137,Portugal,5
138,Puerto Rico,0
139,Qatar,2
140,Romania,4
141,Russia,2
142,Saint Lucia,0
143,Saint Martin (French part),0
144,Saudi Arabia,1
145,Senegal,4
146,Sierra Leone,4
147,Vanuatu,1
148,Sint Maarten (Dutch part),5
149,Slovakia,5
150,Slovenia,4
151,South Africa,1
152,South Korea,4
153,Spain,5
154,Sri Lanka,1
155,Sudan,5
156,Suriname,0
157,Sweden,2
158,Switzerland,5
159,Syria,2
160,Taiwan,1
161,Tanzania,1
162,Trinidad and Tobago,0
163,Tunisia,1
164,Turkey,1
165,Uganda,1
166,Ukraine,2
167,Dubai,4
168,Uzbekistan,1
169,Venezuela,5
170,Vietnam,4
171,Yemen,5
172,Zambia,1
173,Zimbabwe,1
