,name,community
0,Albania,0
1,Bahamas,0
2,Andorra,0
3,British Virgin Islands,1
4,Cayman Islands,1
5,Costa Rica,0
6,Hong Kong,1
7,Nevada,0
8,Niue,0
9,Panama,0
10,Samoa,1
11,Seychelles,1
12,United Kingdom,1
13,Uruguay,0
14,Angola,1
15,Bermuda,1
16,Antigua and Barbuda,0
17,Barbados,1
18,Saint Kitts and Nevis,0
19,Argentina,0
20,New Zealand,0
21,Aruba,1
22,British Anguilla,1
23,Australia,1
24,Cook Islands,1
25,Isle of Man,1
26,Austria,0
27,Azerbaijan,1
28,Cyprus,1
29,Malta,1
30,Netherlands Antilles,0
31,Wyoming,0
32,Bahrain,1
33,United Arab Emirates,1
34,Bangladesh,1
35,Belarus,1
36,Belgium,0
37,Belize,0
38,Mauritius,1
39,Jersey,1
40,Liberia,0
41,Liechtenstein,1
42,Netherlands,0
43,Singapore,1
44,Turks and Caicos Islands,0
45,United States,0
46,Bolivia,0
47,Botswana,0
48,Brazil,0
49,State of Delaware,0
50,Brunei,1
51,Bulgaria,1
52,Cameroon,0
53,Canada,0
54,Gibraltar,1
55,Grenada,0
56,Guernsey,1
57,Luxembourg,0
58,Marshall Islands,0
59,Saint Vincent and the Grenadines,0
60,US Virgin Islands,0
61,Central African Republic,1
62,Chad,1
63,Chile,0
64,China,1
65,Labuan,0
66,Colombia,0
67,Croatia,0
68,Cuba,1
69,Curaçao,0
70,Czech Republic,1
71,Côte d'Ivoire,0
72,Denmark,0
73,Djibouti,0
74,Dominica,0
75,Dominican Republic,0
76,Ecuador,0
77,Egypt,0
78,El Salvador,0
79,Estonia,1
80,Fiji,1
81,Finland,0
82,France,0
83,French Guiana,1
84,Georgia,0
85,Germany,0
86,Ghana,1
87,Greece,0
88,Guam,1
89,Guatemala,0
90,Guyana,0
91,Haiti,1
92,Honduras,0
93,Thailand,1
94,Hungary,0
95,Iceland,1
96,India,1
97,Indonesia,1
98,Iran,0
99,Ireland,1
100,Israel,0
101,Italy,0
102,Jamaica,1
103,Japan,0
104,Jordan,1
105,Kazakhstan,1
106,Kenya,1
107,Kuwait,0
108,Kyrgyzstan,0
109,Latvia,1
110,Lebanon,0
111,Lesotho,0
112,Libya,0
113,Lithuania,0
114,Macao,0
115,Macedonia,1
116,Malawi,1
117,Malaysia,0
118,Mali,1
119,Mexico,0
120,Moldova,1
121,Monaco,0
122,Mongolia,1
123,Montenegro,1
124,Morocco,1
125,Mozambique,1
126,Namibia,0
127,Nauru,0
128,Nicaragua,0
129,Nigeria,1
130,Norway,0
131,Oman,1
132,Pakistan,0
133,Paraguay,0
134,Peru,0
135,Philippines,0
136,Poland,0
137,Portugal,0
138,Puerto Rico,0
139,Qatar,0
140,Romania,0
141,Russia,1
142,Saint Lucia,0
143,Saint Martin (French part),0
144,Saudi Arabia,1
145,Senegal,0
146,Sierra Leone,0
147,Vanuatu,1
148,Sint Maarten (Dutch part),0
149,Slovakia,0
150,Slovenia,0
151,South Africa,0
152,South Korea,0
153,Spain,0
154,Sri Lanka,1
155,Sudan,0
156,Suriname,0
157,Sweden,0
158,Switzerland,0
159,Syria,0
160,Taiwan,1
161,Tanzania,1
162,Trinidad and Tobago,0
163,Tunisia,1
164,Turkey,1
165,Uganda,1
166,Ukraine,1
167,Dubai,0
168,Uzbekistan,1
169,Venezuela,0
170,Vietnam,1
171,Yemen,0
172,Zambia,1
173,Zimbabwe,0
