,name,community
0,Albania,0
1,Bahamas,1
2,Algeria,2
3,British Virgin Islands,1
4,United Kingdom,1
5,United States,1
6,Andorra,1
7,Cayman Islands,1
8,Costa Rica,1
9,Hong Kong,1
10,Ireland,1
11,Latvia,1
12,Nevada,1
13,Niue,1
14,Panama,1
15,Russia,1
16,Samoa,1
17,Seychelles,1
18,Uruguay,1
19,Angola,3
20,Bermuda,1
21,China,1
22,Antigua and Barbuda,1
23,Barbados,4
24,Canada,1
25,Saint Kitts and Nevis,1
26,Argentina,1
27,Belarus,1
28,New Zealand,1
29,Switzerland,1
30,Armenia,5
31,Aruba,6
32,British Anguilla,1
33,Australia,1
34,Austria,1
35,Belize,1
36,Cook Islands,1
37,Cyprus,1
38,Czech Republic,1
39,Germany,1
40,Isle of Man,1
41,Jersey,1
42,Luxembourg,1
43,Netherlands,1
44,Singapore,1
45,South Africa,1
46,Sweden,1
47,Ukraine,1
48,United Arab Emirates,1
49,Azerbaijan,1
50,Gibraltar,1
51,Malta,1
52,Netherlands Antilles,7
53,Wyoming,1
54,Bahrain,1
55,Bangladesh,1
56,Mauritius,1
57,Belgium,1
58,Benin,8
59,Liberia,4
60,Liechtenstein,1
61,Turks and Caicos Islands,4
62,Vanuatu,1
63,Bhutan,9
64,Bolivia,10
65,Bosnia and Herzegovina,11
66,Botswana,12
67,Brazil,1
68,Croatia,1
69,Curaçao,1
70,Israel,1
71,State of Delaware,1
72,Thailand,1
73,Brunei,1
74,Bulgaria,1
75,Cambodia,13
76,Cameroon,14
77,Grenada,4
78,Guernsey,1
79,Marshall Islands,4
80,Saint Vincent and the Grenadines,4
81,US Virgin Islands,1
82,Central African Republic,15
83,Chad,16
84,Chile,1
85,France,1
86,Georgia,1
87,Kazakhstan,1
88,Labuan,17
89,Malaysia,18
90,Serbia,1
91,Colombia,1
92,Congo,19
93,Cuba,20
94,Côte d'Ivoire,1
95,Denmark,1
96,Djibouti,21
97,Dominica,1
98,Dominican Republic,1
99,Ecuador,1
100,Egypt,1
101,El Salvador,1
102,Estonia,1
103,Fiji,1
104,Finland,1
105,French Guiana,22
106,French Polynesia,1
107,Gabon,23
108,Ghana,24
109,Greece,1
110,Guam,25
111,Guatemala,1
112,Guinea,26
113,Guyana,27
114,Haiti,28
115,Honduras,29
116,Japan,1
117,Kuwait,1
118,Portugal,1
119,South Korea,1
120,Hungary,1
121,Iceland,30
122,India,1
123,Indonesia,1
124,Iran,31
125,Italy,1
126,Jamaica,4
127,Jordan,1
128,Kenya,1
129,Kyrgyzstan,32
130,Laos,33
131,Lebanon,1
132,Lesotho,34
133,Libya,35
134,Lithuania,1
135,Macao,1
136,Macedonia,36
137,Madagascar,37
138,Malawi,38
139,Mali,39
140,Mexico,1
141,Moldova,1
142,Monaco,1
143,Mongolia,40
144,Montenegro,1
145,Morocco,1
146,Mozambique,41
147,Myanmar,1
148,Namibia,42
149,Nauru,43
150,Nepal,1
151,Nicaragua,44
152,Nigeria,1
153,Norfolk Island,45
154,Norway,1
155,Oman,46
156,Pakistan,1
157,Palestine,47
158,Papua New Guinea,48
159,Paraguay,1
160,Peru,1
161,Philippines,1
162,Poland,1
163,Puerto Rico,49
164,Qatar,1
165,Romania,1
166,Saint Lucia,50
167,Saint Martin (French part),51
168,Saudi Arabia,1
169,Senegal,52
170,Sierra Leone,53
171,Sint Maarten (Dutch part),54
172,Slovakia,1
173,Slovenia,1
174,Spain,1
175,Sri Lanka,1
176,Sudan,55
177,Suriname,56
178,Syria,1
179,Taiwan,1
180,Tajikistan,57
181,Tanzania,1
182,Tonga,1
183,Trinidad and Tobago,58
184,Tunisia,59
185,Turkey,1
186,Turkmenistan,60
187,Uganda,61
188,Dubai,62
189,Uzbekistan,1
190,Venezuela,1
191,Vietnam,1
192,Yemen,63
193,Zambia,64
194,Zimbabwe,65
