,name,community
0,Albania,0
1,Bahamas,1
2,Andorra,1
3,British Virgin Islands,1
4,Cayman Islands,1
5,Costa Rica,1
6,Hong Kong,1
7,Nevada,1
8,Niue,1
9,Panama,1
10,Samoa,1
11,Seychelles,1
12,United Kingdom,1
13,Uruguay,1
14,Angola,1
15,Bermuda,1
16,Antigua and Barbuda,1
17,Barbados,1
18,Saint Kitts and Nevis,1
19,Argentina,1
20,New Zealand,1
21,Aruba,1
22,British Anguilla,1
23,Australia,1
24,Cook Islands,1
25,Isle of Man,1
26,Austria,1
27,Azerbaijan,1
28,Cyprus,1
29,Malta,1
30,Netherlands Antilles,1
31,Wyoming,1
32,Bahrain,1
33,United Arab Emirates,1
34,Bangladesh,2
35,Belarus,1
36,Belgium,1
37,Belize,1
38,Mauritius,1
39,Jersey,1
40,Liberia,1
41,Liechtenstein,1
42,Netherlands,1
43,Singapore,1
44,Turks and Caicos Islands,1
45,United States,1
46,Bolivia,1
47,Botswana,1
48,Brazil,1
49,State of Delaware,1
50,Brunei,3
51,Bulgaria,1
52,Cameroon,4
53,Canada,1
54,Gibraltar,1
55,Grenada,1
56,Guernsey,1
57,Luxembourg,1
58,Marshall Islands,1
59,Saint Vincent and the Grenadines,1
60,US Virgin Islands,1
61,Central African Republic,5
62,Chad,1
63,Chile,1
64,China,1
65,Colombia,1
66,Croatia,1
67,Cuba,1
68,Curaçao,1
69,Czech Republic,1
70,Côte d'Ivoire,1
71,Denmark,1
72,Djibouti,6
73,Dominica,1
74,Dominican Republic,1
75,Ecuador,1
76,Egypt,1
77,El Salvador,1
78,Estonia,1
79,Fiji,7
80,Finland,1
81,France,1
82,French Guiana,1
83,Georgia,8
84,Germany,1
85,Ghana,1
86,Greece,1
87,Guam,9
88,Guatemala,1
89,Guyana,10
90,Haiti,1
91,Honduras,1
92,Labuan,11
93,Thailand,1
94,Hungary,1
95,Iceland,1
96,India,1
97,Indonesia,1
98,Iran,12
99,Ireland,1
100,Israel,1
101,Italy,1
102,Jamaica,1
103,Japan,1
104,Jordan,1
105,Kazakhstan,1
106,Kenya,1
107,Kuwait,1
108,Kyrgyzstan,13
109,Latvia,1
110,Lebanon,1
111,Lesotho,14
112,Libya,15
113,Lithuania,1
114,Macao,1
115,Macedonia,16
116,Malawi,17
117,Malaysia,11
118,Mali,18
119,Mexico,1
120,Moldova,19
121,Monaco,1
122,Mongolia,20
123,Montenegro,1
124,Morocco,1
125,Mozambique,21
126,Namibia,22
127,Nauru,23
128,Nicaragua,1
129,Nigeria,1
130,Norway,1
131,Oman,24
132,Pakistan,1
133,Paraguay,1
134,Peru,1
135,Philippines,1
136,Poland,1
137,Portugal,1
138,Puerto Rico,25
139,Qatar,1
140,Romania,1
141,Russia,1
142,Saint Lucia,1
143,Saint Martin (French part),26
144,Saudi Arabia,1
145,Senegal,27
146,Sierra Leone,28
147,Vanuatu,1
148,Sint Maarten (Dutch part),29
149,Slovakia,30
150,Slovenia,1
151,South Africa,1
152,South Korea,1
153,Spain,1
154,Sri Lanka,31
155,Sudan,32
156,Suriname,33
157,Sweden,1
158,Switzerland,1
159,Syria,34
160,Taiwan,1
161,Tanzania,35
162,Trinidad and Tobago,1
163,Tunisia,36
164,Turkey,1
165,Uganda,37
166,Ukraine,1
167,Dubai,38
168,Uzbekistan,39
169,Venezuela,1
170,Vietnam,1
171,Yemen,40
172,Zambia,41
173,Zimbabwe,1
