,name,community
0,Albania,0
1,Bahamas,0
2,Algeria,5
3,British Virgin Islands,4
4,United Kingdom,5
5,United States,5
6,Andorra,3
7,Cayman Islands,5
8,Cook Islands,5
9,Costa Rica,3
10,Hong Kong,5
11,Ireland,5
12,Latvia,5
13,Nevada,0
14,Niue,0
15,Panama,3
16,Russia,5
17,Samoa,5
18,Seychelles,5
19,Uruguay,4
20,Angola,4
21,Bermuda,4
22,China,5
23,Antigua and Barbuda,4
24,Barbados,1
25,Canada,1
26,Saint Kitts and Nevis,5
27,Argentina,3
28,Belarus,4
29,New Zealand,4
30,Switzerland,0
31,Armenia,4
32,Aruba,4
33,British Anguilla,3
34,Australia,4
35,Austria,4
36,Belize,0
37,Cyprus,5
38,Czech Republic,5
39,Germany,3
40,Isle of Man,0
41,Jersey,3
42,Labuan,5
43,Luxembourg,3
44,Malaysia,5
45,Netherlands,1
46,Singapore,5
47,South Africa,3
48,Sweden,0
49,Ukraine,0
50,United Arab Emirates,3
51,Azerbaijan,4
52,Gibraltar,3
53,Malta,2
54,Netherlands Antilles,1
55,Saint Lucia,1
56,Wyoming,0
57,Bahrain,4
58,Bangladesh,4
59,Mauritius,0
60,Belgium,4
61,Benin,4
62,Liberia,4
63,Liechtenstein,4
64,Turks and Caicos Islands,1
65,Vanuatu,4
66,Bhutan,4
67,Bolivia,3
68,Bosnia and Herzegovina,4
69,Botswana,5
70,Brazil,3
71,Croatia,5
72,Curaçao,1
73,Israel,3
74,Marshall Islands,5
75,State of Delaware,5
76,Thailand,5
77,Brunei,5
78,Bulgaria,5
79,Cambodia,5
80,Cameroon,5
81,Indonesia,5
82,Grenada,5
83,Guernsey,4
84,Saint Vincent and the Grenadines,1
85,US Virgin Islands,4
86,Central African Republic,4
87,Chad,4
88,Chile,3
89,France,4
90,Georgia,5
91,Kazakhstan,4
92,Serbia,4
93,Colombia,3
94,Congo,4
95,Cuba,4
96,Côte d'Ivoire,4
97,Denmark,4
98,Djibouti,1
99,Dominica,3
100,Dominican Republic,3
101,Ecuador,3
102,Egypt,4
103,El Salvador,3
104,Estonia,4
105,Fiji,5
106,Finland,0
107,French Guiana,4
108,French Polynesia,5
109,Gabon,4
110,Ghana,4
111,Greece,3
112,Guam,4
113,Guatemala,3
114,Guinea,0
115,Guyana,1
116,Haiti,0
117,Honduras,3
118,Japan,4
119,Kuwait,3
120,Portugal,0
121,South Korea,4
122,Taiwan,4
123,Hungary,0
124,Iceland,4
125,India,5
126,Iran,3
127,Italy,3
128,Jamaica,1
129,Jordan,4
130,Kenya,4
131,Kyrgyzstan,5
132,Laos,5
133,Lebanon,4
134,Lesotho,5
135,Libya,4
136,Lithuania,0
137,Macao,2
138,Macedonia,4
139,Madagascar,5
140,Malawi,4
141,Mali,4
142,Mexico,3
143,Moldova,4
144,Monaco,3
145,Mongolia,4
146,Montenegro,4
147,Morocco,4
148,Mozambique,5
149,Myanmar,4
150,Namibia,5
151,Nauru,5
152,Nepal,5
153,Nicaragua,3
154,Nigeria,4
155,Norfolk Island,5
156,Northern Mariana Islands,4
157,Norway,4
158,Oman,4
159,Pakistan,4
160,Palestine,4
161,Papua New Guinea,4
162,Paraguay,3
163,Peru,3
164,Philippines,4
165,Poland,0
166,Puerto Rico,1
167,Qatar,0
168,Romania,4
169,Saint Martin (French part),1
170,Saudi Arabia,4
171,Senegal,5
172,Sierra Leone,4
173,Sint Maarten (Dutch part),3
174,Slovakia,4
175,Slovenia,3
176,Spain,3
177,Sri Lanka,4
178,Sudan,3
179,Suriname,1
180,Syria,4
181,Tajikistan,5
182,Tanzania,4
183,Tonga,5
184,Trinidad and Tobago,1
185,Tunisia,4
186,Turkey,4
187,Turkmenistan,4
188,Uganda,4
189,Dubai,3
190,Uzbekistan,4
191,Venezuela,3
192,Vietnam,4
193,Yemen,3
194,Zambia,4
195,Zimbabwe,4
