,name,community
0,Albania,2
1,Bahamas,2
2,Algeria,4
3,British Virgin Islands,5
4,United Kingdom,4
5,United States,4
6,Andorra,1
7,Cayman Islands,3
8,Costa Rica,1
9,Hong Kong,3
10,Ireland,4
11,Latvia,4
12,Nevada,2
13,Niue,2
14,Panama,1
15,Russia,4
16,Samoa,3
17,Seychelles,3
18,Uruguay,5
19,Angola,5
20,Bermuda,5
21,China,4
22,Antigua and Barbuda,5
23,Barbados,5
24,Canada,5
25,Saint Kitts and Nevis,3
26,Argentina,1
27,Belarus,5
28,New Zealand,5
29,Switzerland,2
30,Armenia,4
31,Aruba,5
32,British Anguilla,1
33,Australia,5
34,Austria,5
35,Belize,2
36,Cook Islands,4
37,Cyprus,4
38,Czech Republic,4
39,Germany,1
40,Isle of Man,2
41,Jersey,1
42,Luxembourg,1
43,Netherlands,4
44,Singapore,4
45,South Africa,1
46,Sweden,2
47,Ukraine,2
48,United Arab Emirates,1
49,Azerbaijan,4
50,Gibraltar,1
51,Malta,6
52,Netherlands Antilles,3
53,Wyoming,2
54,Bahrain,5
55,Bangladesh,5
56,Mauritius,2
57,Belgium,5
58,Benin,5
59,Liberia,5
60,Liechtenstein,5
61,Turks and Caicos Islands,5
62,Vanuatu,5
63,Bhutan,3
64,Bolivia,1
65,Bosnia and Herzegovina,5
66,Botswana,3
67,Brazil,1
68,Croatia,4
69,Curaçao,5
70,Israel,1
71,State of Delaware,3
72,Thailand,3
73,Brunei,5
74,Bulgaria,3
75,Cambodia,4
76,Cameroon,3
77,Grenada,3
78,Guernsey,5
79,Marshall Islands,4
80,Saint Vincent and the Grenadines,5
81,US Virgin Islands,5
82,Central African Republic,5
83,Chad,5
84,Chile,1
85,France,5
86,Georgia,4
87,Kazakhstan,5
88,Labuan,0
89,Malaysia,0
90,Serbia,4
91,Colombia,1
92,Congo,4
93,Cuba,5
94,Côte d'Ivoire,5
95,Denmark,5
96,Djibouti,5
97,Dominica,1
98,Dominican Republic,1
99,Ecuador,1
100,Egypt,5
101,El Salvador,1
102,Estonia,5
103,Fiji,4
104,Finland,2
105,French Guiana,5
106,French Polynesia,4
107,Gabon,4
108,Ghana,5
109,Greece,1
110,Guam,5
111,Guatemala,1
112,Guinea,4
113,Guyana,5
114,Haiti,2
115,Honduras,1
116,Japan,4
117,Kuwait,1
118,Portugal,2
119,South Korea,5
120,Hungary,2
121,Iceland,5
122,India,4
123,Indonesia,4
124,Iran,1
125,Italy,1
126,Jamaica,5
127,Jordan,5
128,Kenya,5
129,Kyrgyzstan,4
130,Laos,3
131,Lebanon,5
132,Lesotho,3
133,Libya,4
134,Lithuania,2
135,Macao,6
136,Macedonia,5
137,Madagascar,3
138,Malawi,5
139,Mali,5
140,Mexico,1
141,Moldova,5
142,Monaco,1
143,Mongolia,5
144,Montenegro,5
145,Morocco,3
146,Mozambique,3
147,Myanmar,4
148,Namibia,3
149,Nauru,3
150,Nepal,4
151,Nicaragua,1
152,Nigeria,5
153,Norfolk Island,4
154,Norway,5
155,Oman,5
156,Pakistan,5
157,Palestine,4
158,Papua New Guinea,4
159,Paraguay,1
160,Peru,1
161,Philippines,4
162,Poland,2
163,Puerto Rico,1
164,Qatar,2
165,Romania,4
166,Saint Lucia,5
167,Saint Martin (French part),5
168,Saudi Arabia,5
169,Senegal,3
170,Sierra Leone,5
171,Sint Maarten (Dutch part),1
172,Slovakia,4
173,Slovenia,1
174,Spain,1
175,Sri Lanka,4
176,Sudan,1
177,Suriname,5
178,Syria,4
179,Taiwan,5
180,Tajikistan,3
181,Tanzania,5
182,Tonga,4
183,Trinidad and Tobago,5
184,Tunisia,5
185,Turkey,5
186,Turkmenistan,4
187,Uganda,5
188,Dubai,1
189,Uzbekistan,5
190,Venezuela,1
191,Vietnam,5
192,Yemen,1
193,Zambia,5
194,Zimbabwe,5
