node_start,node_end,weight
Bahamas,Barbados,100.0
Bahamas,Bermuda,18.0
Bahamas,British Virgin Islands,3645.5
Bahamas,Hong Kong,52.0
Bahamas,Niue,116.0
Bahamas,Panama,4521.0
Bahamas,Russia,25.0
Bahamas,Seychelles,216.0
Bahamas,United Kingdom,40.0
Barbados,Bahamas,4.0
Barbados,Bermuda,16.0
Barbados,British Virgin Islands,39.0
Barbados,Hong Kong,1.0
Barbados,Panama,37.0
Barbados,Russia,3.0
Barbados,United Kingdom,3.0
Bermuda,Bahamas,42.0
Bermuda,Barbados,74.0
Bermuda,British Virgin Islands,360.5
Bermuda,Hong Kong,29.0
Bermuda,Panama,54.0
Bermuda,Russia,20.0
Bermuda,Seychelles,3.0
Bermuda,United Kingdom,29.0
British Virgin Islands,Bahamas,290.0
British Virgin Islands,Barbados,2106.0
British Virgin Islands,Bermuda,26.0
British Virgin Islands,Hong Kong,896.0
British Virgin Islands,Niue,4.0
British Virgin Islands,Panama,513.0
British Virgin Islands,Russia,608.0
British Virgin Islands,Seychelles,96.5
British Virgin Islands,United Kingdom,918.0
Hong Kong,Bahamas,1924.0
Hong Kong,Barbados,10.0
Hong Kong,Bermuda,786.0
Hong Kong,British Virgin Islands,65366.5
Hong Kong,Niue,2110.0
Hong Kong,Panama,2257.5
Hong Kong,Russia,2067.0
Hong Kong,Seychelles,7776.5
Hong Kong,United Kingdom,3071.0
Niue,Bahamas,2.0
Niue,British Virgin Islands,27.0
Niue,Hong Kong,1.0
Niue,Panama,472.0
Niue,Russia,1.0
Niue,Seychelles,11.0
Panama,Bahamas,2240.0
Panama,Barbados,50.0
Panama,British Virgin Islands,9789.5
Panama,Hong Kong,284.0
Panama,Niue,3178.0
Panama,Russia,56.0
Panama,Seychelles,2551.0
Panama,United Kingdom,64.0
Russia,Bahamas,2673.0
Russia,Bermuda,50.0
Russia,British Virgin Islands,6292.5
Russia,Hong Kong,457.5
Russia,Niue,732.0
Russia,Panama,384.0
Russia,Seychelles,58.0
Russia,United Kingdom,427.0
Seychelles,Bahamas,134.0
Seychelles,Barbados,6.0
Seychelles,British Virgin Islands,507.0
Seychelles,Hong Kong,54.0
Seychelles,Panama,185.0
Seychelles,Russia,38.0
Seychelles,United Kingdom,42.0
United Kingdom,Bahamas,2641.0
United Kingdom,Barbados,280.0
United Kingdom,Bermuda,432.0
United Kingdom,British Virgin Islands,11652.0
United Kingdom,Hong Kong,172.5
United Kingdom,Niue,1482.0
United Kingdom,Panama,3398.0
United Kingdom,Russia,139.0
United Kingdom,Seychelles,630.5
