,name,community
0,Albania,0
1,Bahamas,0
2,Andorra,1
3,British Virgin Islands,2
4,Cayman Islands,3
5,Costa Rica,1
6,Hong Kong,2
7,Nevada,0
8,Niue,1
9,Panama,1
10,Samoa,3
11,Seychelles,4
12,United Kingdom,2
13,Uruguay,1
14,Angola,2
15,Bermuda,3
16,Antigua and Barbuda,3
17,Barbados,3
18,Saint Kitts and Nevis,3
19,Argentina,1
20,New Zealand,3
21,Aruba,2
22,British Anguilla,4
23,Australia,3
24,Cook Islands,3
25,Isle of Man,2
26,Austria,3
27,Azerbaijan,0
28,Cyprus,0
29,Malta,2
30,Netherlands Antilles,3
31,Wyoming,0
32,Bahrain,3
33,United Arab Emirates,4
34,Bangladesh,3
35,Belarus,2
36,Belgium,1
37,Belize,1
38,Mauritius,2
39,Jersey,2
40,Liberia,3
41,Liechtenstein,2
42,Netherlands,3
43,Singapore,2
44,Turks and Caicos Islands,3
45,United States,3
46,Bolivia,1
47,Botswana,4
48,Brazil,1
49,State of Delaware,3
50,Brunei,2
51,Bulgaria,4
52,Cameroon,4
53,Canada,3
54,Gibraltar,2
55,Grenada,3
56,Guernsey,2
57,Luxembourg,1
58,Marshall Islands,3
59,Saint Vincent and the Grenadines,3
60,US Virgin Islands,3
61,Central African Republic,2
62,Chad,2
63,Chile,1
64,China,2
65,Colombia,1
66,Croatia,3
67,Cuba,2
68,Curaçao,3
69,Czech Republic,2
70,Côte d'Ivoire,1
71,Denmark,0
72,Djibouti,1
73,Dominica,1
74,Dominican Republic,1
75,Ecuador,1
76,Egypt,1
77,El Salvador,1
78,Estonia,2
79,Fiji,3
80,Finland,0
81,France,3
82,French Guiana,2
83,Georgia,4
84,Germany,1
85,Ghana,4
86,Greece,1
87,Guam,2
88,Guatemala,1
89,Guyana,3
90,Haiti,0
91,Honduras,1
92,Labuan,5
93,Thailand,4
94,Hungary,4
95,Iceland,2
96,India,3
97,Indonesia,3
98,Iran,1
99,Ireland,3
100,Israel,4
101,Italy,4
102,Jamaica,3
103,Japan,3
104,Jordan,2
105,Kazakhstan,2
106,Kenya,2
107,Kuwait,1
108,Kyrgyzstan,2
109,Latvia,2
110,Lebanon,4
111,Lesotho,4
112,Libya,1
113,Lithuania,1
114,Macao,2
115,Macedonia,4
116,Malawi,2
117,Malaysia,5
118,Mali,2
119,Mexico,1
120,Moldova,2
121,Monaco,1
122,Mongolia,2
123,Montenegro,2
124,Morocco,4
125,Mozambique,4
126,Namibia,4
127,Nauru,1
128,Nicaragua,1
129,Nigeria,0
130,Norway,3
131,Oman,2
132,Pakistan,3
133,Paraguay,1
134,Peru,1
135,Philippines,3
136,Poland,0
137,Portugal,1
138,Puerto Rico,3
139,Qatar,1
140,Romania,4
141,Russia,0
142,Saint Lucia,3
143,Saint Martin (French part),3
144,Saudi Arabia,3
145,Senegal,4
146,Sierra Leone,3
147,Vanuatu,2
148,Sint Maarten (Dutch part),1
149,Slovakia,1
150,Slovenia,4
151,South Africa,2
152,South Korea,3
153,Spain,1
154,Sri Lanka,2
155,Sudan,1
156,Suriname,3
157,Sweden,0
158,Switzerland,1
159,Syria,0
160,Taiwan,2
161,Tanzania,2
162,Trinidad and Tobago,3
163,Tunisia,2
164,Turkey,2
165,Uganda,2
166,Ukraine,0
167,Dubai,4
168,Uzbekistan,2
169,Venezuela,1
170,Vietnam,3
171,Yemen,1
172,Zambia,2
173,Zimbabwe,2
