,name,community
0,Albania,0
1,Bahamas,0
2,Algeria,0
3,British Virgin Islands,0
4,United Kingdom,0
5,United States,0
6,Andorra,0
7,Cayman Islands,0
8,Costa Rica,0
9,Hong Kong,0
10,Ireland,0
11,Latvia,0
12,Nevada,0
13,Niue,0
14,Panama,0
15,Russia,0
16,Samoa,0
17,Seychelles,0
18,Uruguay,0
19,Angola,0
20,Bermuda,0
21,China,0
22,Antigua and Barbuda,0
23,Barbados,0
24,Canada,0
25,Saint Kitts and Nevis,0
26,Argentina,0
27,Belarus,0
28,New Zealand,0
29,Switzerland,0
30,Armenia,0
31,Aruba,0
32,British Anguilla,0
33,Australia,0
34,Austria,0
35,Belize,0
36,Cook Islands,0
37,Cyprus,0
38,Czech Republic,0
39,Germany,0
40,Isle of Man,0
41,Jersey,0
42,Luxembourg,0
43,Netherlands,0
44,Singapore,0
45,South Africa,0
46,Sweden,0
47,Ukraine,0
48,United Arab Emirates,0
49,Azerbaijan,0
50,Gibraltar,0
51,Malta,0
52,Netherlands Antilles,0
53,Wyoming,0
54,Bahrain,0
55,Bangladesh,0
56,Mauritius,0
57,Belgium,0
58,Benin,0
59,Liberia,0
60,Liechtenstein,0
61,Turks and Caicos Islands,0
62,Vanuatu,0
63,Bhutan,0
64,Bolivia,0
65,Bosnia and Herzegovina,0
66,Botswana,0
67,Brazil,0
68,Croatia,0
69,Curaçao,0
70,Israel,0
71,State of Delaware,0
72,Thailand,0
73,Brunei,0
74,Bulgaria,0
75,Cambodia,0
76,Cameroon,0
77,Grenada,0
78,Guernsey,0
79,Marshall Islands,0
80,Saint Vincent and the Grenadines,0
81,US Virgin Islands,0
82,Central African Republic,0
83,Chad,0
84,Chile,0
85,France,0
86,Georgia,0
87,Kazakhstan,0
88,Labuan,1
89,Malaysia,1
90,Serbia,0
91,Colombia,0
92,Congo,0
93,Cuba,0
94,Côte d'Ivoire,0
95,Denmark,0
96,Djibouti,0
97,Dominica,0
98,Dominican Republic,0
99,Ecuador,0
100,Egypt,0
101,El Salvador,0
102,Estonia,0
103,Fiji,0
104,Finland,0
105,French Guiana,0
106,French Polynesia,0
107,Gabon,0
108,Ghana,0
109,Greece,0
110,Guam,0
111,Guatemala,0
112,Guinea,0
113,Guyana,0
114,Haiti,0
115,Honduras,0
116,Japan,0
117,Kuwait,0
118,Portugal,0
119,South Korea,0
120,Hungary,0
121,Iceland,0
122,India,0
123,Indonesia,0
124,Iran,0
125,Italy,0
126,Jamaica,0
127,Jordan,0
128,Kenya,0
129,Kyrgyzstan,0
130,Laos,0
131,Lebanon,0
132,Lesotho,0
133,Libya,0
134,Lithuania,0
135,Macao,0
136,Macedonia,0
137,Madagascar,0
138,Malawi,0
139,Mali,0
140,Mexico,0
141,Moldova,0
142,Monaco,0
143,Mongolia,0
144,Montenegro,0
145,Morocco,0
146,Mozambique,0
147,Myanmar,0
148,Namibia,0
149,Nauru,0
150,Nepal,0
151,Nicaragua,0
152,Nigeria,0
153,Norfolk Island,0
154,Norway,0
155,Oman,0
156,Pakistan,0
157,Palestine,0
158,Papua New Guinea,0
159,Paraguay,0
160,Peru,0
161,Philippines,0
162,Poland,0
163,Puerto Rico,0
164,Qatar,0
165,Romania,0
166,Saint Lucia,0
167,Saint Martin (French part),0
168,Saudi Arabia,0
169,Senegal,0
170,Sierra Leone,0
171,Sint Maarten (Dutch part),0
172,Slovakia,0
173,Slovenia,0
174,Spain,0
175,Sri Lanka,0
176,Sudan,0
177,Suriname,0
178,Syria,0
179,Taiwan,0
180,Tajikistan,0
181,Tanzania,0
182,Tonga,0
183,Trinidad and Tobago,0
184,Tunisia,0
185,Turkey,0
186,Turkmenistan,0
187,Uganda,0
188,Dubai,0
189,Uzbekistan,0
190,Venezuela,0
191,Vietnam,0
192,Yemen,0
193,Zambia,0
194,Zimbabwe,0
