,name,community
0,Albania,0
1,Bahamas,0
2,Andorra,0
3,British Virgin Islands,0
4,Cayman Islands,0
5,Costa Rica,0
6,Hong Kong,0
7,Nevada,0
8,Niue,0
9,Panama,0
10,Samoa,0
11,Seychelles,0
12,United Kingdom,0
13,Uruguay,0
14,Angola,0
15,Bermuda,0
16,Antigua and Barbuda,0
17,Barbados,0
18,Saint Kitts and Nevis,0
19,Argentina,0
20,New Zealand,0
21,Aruba,0
22,British Anguilla,0
23,Australia,0
24,Cook Islands,0
25,Isle of Man,0
26,Austria,0
27,Azerbaijan,0
28,Cyprus,0
29,Malta,0
30,Netherlands Antilles,0
31,Wyoming,0
32,Bahrain,0
33,United Arab Emirates,0
34,Bangladesh,0
35,Belarus,0
36,Belgium,0
37,Belize,0
38,Mauritius,0
39,Jersey,0
40,Liberia,0
41,Liechtenstein,0
42,Netherlands,0
43,Singapore,0
44,Turks and Caicos Islands,0
45,United States,0
46,Bolivia,0
47,Botswana,0
48,Brazil,0
49,State of Delaware,0
50,Brunei,0
51,Bulgaria,0
52,Cameroon,0
53,Canada,0
54,Gibraltar,0
55,Grenada,0
56,Guernsey,0
57,Luxembourg,0
58,Marshall Islands,0
59,Saint Vincent and the Grenadines,0
60,US Virgin Islands,0
61,Central African Republic,0
62,Chad,0
63,Chile,0
64,China,0
65,Colombia,0
66,Croatia,0
67,Cuba,0
68,Curaçao,0
69,Czech Republic,0
70,Côte d'Ivoire,0
71,Denmark,0
72,Djibouti,0
73,Dominica,0
74,Dominican Republic,0
75,Ecuador,0
76,Egypt,0
77,El Salvador,0
78,Estonia,0
79,Fiji,0
80,Finland,0
81,France,0
82,French Guiana,0
83,Georgia,0
84,Germany,0
85,Ghana,0
86,Greece,0
87,Guam,0
88,Guatemala,0
89,Guyana,0
90,Haiti,0
91,Honduras,0
92,Labuan,1
93,Thailand,0
94,Hungary,0
95,Iceland,0
96,India,0
97,Indonesia,0
98,Iran,0
99,Ireland,0
100,Israel,0
101,Italy,0
102,Jamaica,0
103,Japan,0
104,Jordan,0
105,Kazakhstan,0
106,Kenya,0
107,Kuwait,0
108,Kyrgyzstan,0
109,Latvia,0
110,Lebanon,0
111,Lesotho,0
112,Libya,0
113,Lithuania,0
114,Macao,0
115,Macedonia,0
116,Malawi,0
117,Malaysia,1
118,Mali,0
119,Mexico,0
120,Moldova,0
121,Monaco,0
122,Mongolia,0
123,Montenegro,0
124,Morocco,0
125,Mozambique,0
126,Namibia,0
127,Nauru,0
128,Nicaragua,0
129,Nigeria,0
130,Norway,0
131,Oman,0
132,Pakistan,0
133,Paraguay,0
134,Peru,0
135,Philippines,0
136,Poland,0
137,Portugal,0
138,Puerto Rico,0
139,Qatar,0
140,Romania,0
141,Russia,0
142,Saint Lucia,0
143,Saint Martin (French part),0
144,Saudi Arabia,0
145,Senegal,0
146,Sierra Leone,0
147,Vanuatu,0
148,Sint Maarten (Dutch part),0
149,Slovakia,0
150,Slovenia,0
151,South Africa,0
152,South Korea,0
153,Spain,0
154,Sri Lanka,0
155,Sudan,0
156,Suriname,0
157,Sweden,0
158,Switzerland,0
159,Syria,0
160,Taiwan,0
161,Tanzania,0
162,Trinidad and Tobago,0
163,Tunisia,0
164,Turkey,0
165,Uganda,0
166,Ukraine,0
167,Dubai,0
168,Uzbekistan,0
169,Venezuela,0
170,Vietnam,0
171,Yemen,0
172,Zambia,0
173,Zimbabwe,0
