,name,community
0,Albania,0
1,Bahamas,1
2,Andorra,1
3,British Virgin Islands,1
4,Cayman Islands,1
5,Cook Islands,1
6,Costa Rica,1
7,Hong Kong,1
8,Nevada,1
9,Niue,1
10,Panama,1
11,Samoa,1
12,Seychelles,1
13,United Kingdom,1
14,Uruguay,1
15,Angola,2
16,Bermuda,1
17,Antigua and Barbuda,3
18,Barbados,1
19,Saint Kitts and Nevis,1
20,Argentina,1
21,New Zealand,1
22,Aruba,4
23,British Anguilla,1
24,Australia,1
25,Isle of Man,1
26,Labuan,1
27,Austria,5
28,Azerbaijan,6
29,Cyprus,1
30,Malta,1
31,Netherlands Antilles,7
32,Saint Lucia,1
33,Wyoming,8
34,Bahrain,9
35,United Arab Emirates,1
36,Bangladesh,10
37,Belarus,11
38,Belgium,1
39,Belize,1
40,Mauritius,1
41,Jersey,1
42,Liberia,1
43,Liechtenstein,1
44,Netherlands,1
45,Singapore,1
46,Turks and Caicos Islands,1
47,United States,1
48,Bolivia,1
49,Botswana,12
50,Brazil,1
51,Marshall Islands,13
52,State of Delaware,1
53,Brunei,14
54,Bulgaria,1
55,Cameroon,15
56,Canada,1
57,Gibraltar,1
58,Grenada,16
59,Guernsey,1
60,Luxembourg,1
61,Saint Vincent and the Grenadines,17
62,US Virgin Islands,18
63,Central African Republic,19
64,Chad,20
65,Chile,1
66,China,1
67,Colombia,1
68,Croatia,21
69,Cuba,22
70,Curaçao,1
71,Czech Republic,23
72,Côte d'Ivoire,24
73,Denmark,25
74,Djibouti,26
75,Dominica,1
76,Dominican Republic,1
77,Ecuador,1
78,Egypt,1
79,El Salvador,1
80,Estonia,1
81,Fiji,27
82,Finland,1
83,France,1
84,French Guiana,28
85,Georgia,29
86,Germany,1
87,Ghana,30
88,Greece,1
89,Guam,31
90,Guatemala,1
91,Guyana,32
92,Haiti,33
93,Honduras,34
94,Thailand,1
95,Vanuatu,35
96,Hungary,1
97,Iceland,36
98,India,1
99,Indonesia,1
100,Iran,37
101,Ireland,1
102,Israel,1
103,Italy,1
104,Jamaica,38
105,Japan,1
106,Jordan,1
107,Kazakhstan,39
108,Kenya,40
109,Kuwait,1
110,Kyrgyzstan,41
111,Latvia,1
112,Lebanon,1
113,Lesotho,42
114,Libya,43
115,Lithuania,44
116,Macao,1
117,Macedonia,45
118,Malawi,46
119,Malaysia,1
120,Mali,47
121,Mexico,1
122,Moldova,48
123,Monaco,1
124,Mongolia,49
125,Montenegro,50
126,Morocco,51
127,Mozambique,52
128,Namibia,53
129,Nauru,54
130,Nicaragua,55
131,Nigeria,56
132,Northern Mariana Islands,57
133,Norway,1
134,Oman,58
135,Pakistan,59
136,Paraguay,1
137,Peru,1
138,Philippines,1
139,Poland,1
140,Portugal,1
141,Puerto Rico,60
142,Qatar,61
143,Romania,62
144,Russia,1
145,Saint Martin (French part),63
146,Saudi Arabia,1
147,Senegal,64
148,Sierra Leone,65
149,Sint Maarten (Dutch part),66
150,Slovakia,67
151,Slovenia,68
152,South Africa,1
153,South Korea,69
154,Spain,1
155,Sri Lanka,70
156,Sudan,71
157,Suriname,72
158,Sweden,1
159,Switzerland,1
160,Syria,73
161,Taiwan,1
162,Tanzania,74
163,Trinidad and Tobago,1
164,Tunisia,75
165,Turkey,1
166,Uganda,76
167,Ukraine,1
168,Dubai,77
169,Uzbekistan,78
170,Venezuela,1
171,Vietnam,79
172,Yemen,80
173,Zambia,81
174,Zimbabwe,82
