,name,community
0,Albania,0
1,Bahamas,0
2,Algeria,1
3,British Virgin Islands,1
4,United Kingdom,1
5,United States,2
6,Andorra,0
7,Cayman Islands,2
8,Costa Rica,0
9,Hong Kong,1
10,Ireland,1
11,Latvia,1
12,Nevada,0
13,Niue,0
14,Panama,0
15,Russia,1
16,Samoa,2
17,Seychelles,0
18,Uruguay,0
19,Angola,1
20,Bermuda,2
21,China,1
22,Antigua and Barbuda,2
23,Barbados,2
24,Canada,2
25,Saint Kitts and Nevis,2
26,Argentina,0
27,Belarus,1
28,New Zealand,2
29,Switzerland,0
30,Armenia,1
31,Aruba,3
32,British Anguilla,3
33,Australia,1
34,Austria,2
35,Belize,0
36,Cook Islands,1
37,Cyprus,1
38,Czech Republic,1
39,Germany,0
40,Isle of Man,1
41,Jersey,1
42,Luxembourg,0
43,Netherlands,2
44,Singapore,1
45,South Africa,1
46,Sweden,2
47,Ukraine,1
48,United Arab Emirates,0
49,Azerbaijan,1
50,Gibraltar,1
51,Malta,4
52,Netherlands Antilles,2
53,Wyoming,0
54,Bahrain,1
55,Bangladesh,1
56,Mauritius,1
57,Belgium,2
58,Benin,1
59,Liberia,0
60,Liechtenstein,0
61,Turks and Caicos Islands,2
62,Vanuatu,1
63,Bhutan,1
64,Bolivia,0
65,Bosnia and Herzegovina,1
66,Botswana,0
67,Brazil,0
68,Croatia,1
69,Curaçao,2
70,Israel,3
71,State of Delaware,2
72,Thailand,1
73,Brunei,1
74,Bulgaria,0
75,Cambodia,1
76,Cameroon,0
77,Grenada,2
78,Guernsey,1
79,Marshall Islands,2
80,Saint Vincent and the Grenadines,2
81,US Virgin Islands,1
82,Central African Republic,1
83,Chad,1
84,Chile,0
85,France,2
86,Georgia,1
87,Kazakhstan,1
88,Labuan,5
89,Malaysia,5
90,Serbia,1
91,Colombia,0
92,Congo,1
93,Cuba,2
94,Côte d'Ivoire,0
95,Denmark,2
96,Djibouti,2
97,Dominica,0
98,Dominican Republic,0
99,Ecuador,0
100,Egypt,0
101,El Salvador,0
102,Estonia,1
103,Fiji,1
104,Finland,0
105,French Guiana,2
106,French Polynesia,1
107,Gabon,1
108,Ghana,3
109,Greece,0
110,Guam,2
111,Guatemala,0
112,Guinea,0
113,Guyana,2
114,Haiti,0
115,Honduras,0
116,Japan,1
117,Kuwait,0
118,Portugal,0
119,South Korea,1
120,Hungary,0
121,Iceland,1
122,India,1
123,Indonesia,1
124,Iran,0
125,Italy,3
126,Jamaica,2
127,Jordan,1
128,Kenya,1
129,Kyrgyzstan,1
130,Laos,1
131,Lebanon,0
132,Lesotho,0
133,Libya,1
134,Lithuania,0
135,Macao,4
136,Macedonia,0
137,Madagascar,1
138,Malawi,1
139,Mali,1
140,Mexico,0
141,Moldova,1
142,Monaco,0
143,Mongolia,1
144,Montenegro,1
145,Morocco,0
146,Mozambique,0
147,Myanmar,1
148,Namibia,0
149,Nauru,1
150,Nepal,1
151,Nicaragua,0
152,Nigeria,2
153,Norfolk Island,2
154,Norway,2
155,Oman,1
156,Pakistan,1
157,Palestine,1
158,Papua New Guinea,1
159,Paraguay,0
160,Peru,0
161,Philippines,1
162,Poland,0
163,Puerto Rico,2
164,Qatar,0
165,Romania,1
166,Saint Lucia,2
167,Saint Martin (French part),2
168,Saudi Arabia,2
169,Senegal,0
170,Sierra Leone,2
171,Sint Maarten (Dutch part),0
172,Slovakia,1
173,Slovenia,3
174,Spain,0
175,Sri Lanka,1
176,Sudan,0
177,Suriname,2
178,Syria,0
179,Taiwan,1
180,Tajikistan,2
181,Tanzania,1
182,Tonga,1
183,Trinidad and Tobago,2
184,Tunisia,1
185,Turkey,1
186,Turkmenistan,1
187,Uganda,1
188,Dubai,0
189,Uzbekistan,1
190,Venezuela,0
191,Vietnam,1
192,Yemen,0
193,Zambia,1
194,Zimbabwe,1
