,name,community
0,Albania,3
1,Bahamas,3
2,Algeria,6
3,British Virgin Islands,6
4,United Kingdom,6
5,United States,2
6,Andorra,3
7,Cayman Islands,2
8,Cook Islands,6
9,Costa Rica,3
10,Hong Kong,6
11,Ireland,6
12,Latvia,6
13,Nevada,3
14,Niue,3
15,Panama,3
16,Russia,6
17,Samoa,2
18,Seychelles,3
19,Uruguay,3
20,Angola,6
21,Bermuda,2
22,China,6
23,Antigua and Barbuda,2
24,Barbados,2
25,Canada,2
26,Saint Kitts and Nevis,2
27,Argentina,3
28,Belarus,6
29,New Zealand,2
30,Switzerland,3
31,Armenia,6
32,Aruba,5
33,British Anguilla,5
34,Australia,6
35,Austria,2
36,Belize,3
37,Cyprus,6
38,Czech Republic,6
39,Germany,3
40,Isle of Man,6
41,Jersey,6
42,Labuan,0
43,Luxembourg,3
44,Malaysia,0
45,Netherlands,2
46,Singapore,6
47,South Africa,6
48,Sweden,2
49,Ukraine,6
50,United Arab Emirates,3
51,Azerbaijan,6
52,Gibraltar,6
53,Malta,4
54,Netherlands Antilles,2
55,Saint Lucia,2
56,Wyoming,3
57,Bahrain,6
58,Bangladesh,6
59,Mauritius,6
60,Belgium,2
61,Benin,5
62,Liberia,2
63,Liechtenstein,6
64,Turks and Caicos Islands,2
65,Vanuatu,6
66,Bhutan,6
67,Bolivia,3
68,Bosnia and Herzegovina,6
69,Botswana,3
70,Brazil,3
71,Croatia,6
72,Curaçao,2
73,Israel,5
74,Marshall Islands,2
75,State of Delaware,2
76,Thailand,6
77,Brunei,6
78,Bulgaria,3
79,Cambodia,6
80,Cameroon,3
81,Indonesia,6
82,Grenada,2
83,Guernsey,6
84,Saint Vincent and the Grenadines,2
85,US Virgin Islands,6
86,Central African Republic,6
87,Chad,6
88,Chile,3
89,France,2
90,Georgia,6
91,Kazakhstan,6
92,Serbia,6
93,Colombia,3
94,Congo,6
95,Cuba,2
96,Côte d'Ivoire,3
97,Denmark,2
98,Djibouti,2
99,Dominica,3
100,Dominican Republic,3
101,Ecuador,3
102,Egypt,3
103,El Salvador,3
104,Estonia,6
105,Fiji,6
106,Finland,3
107,French Guiana,2
108,French Polynesia,6
109,Gabon,6
110,Ghana,5
111,Greece,3
112,Guam,2
113,Guatemala,3
114,Guinea,1
115,Guyana,2
116,Haiti,3
117,Honduras,3
118,Japan,6
119,Kuwait,3
120,Portugal,3
121,South Korea,6
122,Taiwan,6
123,Hungary,3
124,Iceland,6
125,India,6
126,Iran,3
127,Italy,5
128,Jamaica,2
129,Jordan,6
130,Kenya,6
131,Kyrgyzstan,6
132,Laos,6
133,Lebanon,3
134,Lesotho,3
135,Libya,6
136,Lithuania,3
137,Macao,4
138,Macedonia,6
139,Madagascar,6
140,Malawi,6
141,Mali,6
142,Mexico,3
143,Moldova,6
144,Monaco,3
145,Mongolia,6
146,Montenegro,6
147,Morocco,3
148,Mozambique,3
149,Myanmar,6
150,Namibia,3
151,Nauru,6
152,Nepal,6
153,Nicaragua,3
154,Nigeria,2
155,Norfolk Island,2
156,Northern Mariana Islands,6
157,Norway,2
158,Oman,6
159,Pakistan,6
160,Palestine,6
161,Papua New Guinea,6
162,Paraguay,3
163,Peru,3
164,Philippines,6
165,Poland,3
166,Puerto Rico,2
167,Qatar,3
168,Romania,6
169,Saint Martin (French part),2
170,Saudi Arabia,2
171,Senegal,3
172,Sierra Leone,2
173,Sint Maarten (Dutch part),3
174,Slovakia,6
175,Slovenia,5
176,Spain,3
177,Sri Lanka,6
178,Sudan,3
179,Suriname,2
180,Syria,3
181,Tajikistan,2
182,Tanzania,6
183,Tonga,6
184,Trinidad and Tobago,2
185,Tunisia,6
186,Turkey,6
187,Turkmenistan,6
188,Uganda,6
189,Dubai,3
190,Uzbekistan,6
191,Venezuela,3
192,Vietnam,6
193,Yemen,3
194,Zambia,6
195,Zimbabwe,6
