,name,community
0,Albania,1
1,Bahamas,1
2,Algeria,6
3,British Virgin Islands,6
4,United Kingdom,6
5,United States,5
6,Andorra,1
7,Cayman Islands,5
8,Costa Rica,1
9,Hong Kong,6
10,Ireland,6
11,Latvia,6
12,Nevada,1
13,Niue,1
14,Panama,1
15,Russia,6
16,Samoa,3
17,Seychelles,3
18,Uruguay,1
19,Angola,6
20,Bermuda,5
21,China,6
22,Antigua and Barbuda,5
23,Barbados,5
24,Canada,5
25,Saint Kitts and Nevis,5
26,Argentina,1
27,Belarus,6
28,New Zealand,5
29,Switzerland,1
30,Armenia,6
31,Aruba,3
32,British Anguilla,3
33,Australia,6
34,Austria,5
35,Belize,1
36,Cook Islands,6
37,Cyprus,6
38,Czech Republic,6
39,Germany,1
40,Isle of Man,6
41,Jersey,6
42,Luxembourg,1
43,Netherlands,5
44,Singapore,6
45,South Africa,6
46,Sweden,5
47,Ukraine,6
48,United Arab Emirates,3
49,Azerbaijan,6
50,Gibraltar,6
51,Malta,4
52,Netherlands Antilles,5
53,Wyoming,1
54,Bahrain,6
55,Bangladesh,6
56,Mauritius,6
57,Belgium,5
58,Benin,6
59,Liberia,3
60,Liechtenstein,3
61,Turks and Caicos Islands,5
62,Vanuatu,6
63,Bhutan,6
64,Bolivia,1
65,Bosnia and Herzegovina,6
66,Botswana,3
67,Brazil,1
68,Croatia,6
69,Curaçao,5
70,Israel,3
71,State of Delaware,5
72,Thailand,6
73,Brunei,6
74,Bulgaria,3
75,Cambodia,6
76,Cameroon,3
77,Grenada,5
78,Guernsey,6
79,Marshall Islands,5
80,Saint Vincent and the Grenadines,5
81,US Virgin Islands,6
82,Central African Republic,6
83,Chad,6
84,Chile,1
85,France,5
86,Georgia,6
87,Kazakhstan,6
88,Labuan,0
89,Malaysia,0
90,Serbia,6
91,Colombia,1
92,Congo,6
93,Cuba,5
94,Côte d'Ivoire,1
95,Denmark,5
96,Djibouti,5
97,Dominica,1
98,Dominican Republic,1
99,Ecuador,1
100,Egypt,1
101,El Salvador,1
102,Estonia,6
103,Fiji,6
104,Finland,1
105,French Guiana,5
106,French Polynesia,6
107,Gabon,6
108,Ghana,3
109,Greece,1
110,Guam,5
111,Guatemala,1
112,Guinea,2
113,Guyana,5
114,Haiti,1
115,Honduras,1
116,Japan,6
117,Kuwait,1
118,Portugal,1
119,South Korea,6
120,Hungary,3
121,Iceland,6
122,India,6
123,Indonesia,6
124,Iran,1
125,Italy,3
126,Jamaica,5
127,Jordan,6
128,Kenya,6
129,Kyrgyzstan,6
130,Laos,6
131,Lebanon,3
132,Lesotho,3
133,Libya,6
134,Lithuania,1
135,Macao,4
136,Macedonia,3
137,Madagascar,6
138,Malawi,6
139,Mali,6
140,Mexico,1
141,Moldova,6
142,Monaco,1
143,Mongolia,6
144,Montenegro,6
145,Morocco,3
146,Mozambique,3
147,Myanmar,6
148,Namibia,3
149,Nauru,6
150,Nepal,6
151,Nicaragua,1
152,Nigeria,5
153,Norfolk Island,5
154,Norway,5
155,Oman,6
156,Pakistan,6
157,Palestine,6
158,Papua New Guinea,6
159,Paraguay,1
160,Peru,1
161,Philippines,6
162,Poland,1
163,Puerto Rico,5
164,Qatar,1
165,Romania,6
166,Saint Lucia,5
167,Saint Martin (French part),5
168,Saudi Arabia,5
169,Senegal,3
170,Sierra Leone,5
171,Sint Maarten (Dutch part),1
172,Slovakia,6
173,Slovenia,3
174,Spain,1
175,Sri Lanka,6
176,Sudan,1
177,Suriname,5
178,Syria,1
179,Taiwan,6
180,Tajikistan,5
181,Tanzania,6
182,Tonga,6
183,Trinidad and Tobago,5
184,Tunisia,6
185,Turkey,6
186,Turkmenistan,6
187,Uganda,6
188,Dubai,3
189,Uzbekistan,6
190,Venezuela,1
191,Vietnam,6
192,Yemen,1
193,Zambia,6
194,Zimbabwe,6
