,name,community
0,Albania,1
1,Bahamas,1
2,Andorra,5
3,British Virgin Islands,2
4,Cayman Islands,3
5,Costa Rica,5
6,Hong Kong,2
7,Nevada,5
8,Niue,5
9,Panama,5
10,Samoa,0
11,Seychelles,0
12,United Kingdom,2
13,Uruguay,5
14,Angola,2
15,Bermuda,3
16,Antigua and Barbuda,3
17,Barbados,3
18,Saint Kitts and Nevis,3
19,Argentina,5
20,New Zealand,3
21,Aruba,2
22,British Anguilla,0
23,Australia,3
24,Cook Islands,3
25,Isle of Man,2
26,Austria,3
27,Azerbaijan,1
28,Cyprus,1
29,Malta,2
30,Netherlands Antilles,3
31,Wyoming,1
32,Bahrain,3
33,United Arab Emirates,0
34,Bangladesh,3
35,Belarus,2
36,Belgium,5
37,Belize,5
38,Mauritius,2
39,Jersey,2
40,Liberia,3
41,Liechtenstein,2
42,Netherlands,3
43,Singapore,2
44,Turks and Caicos Islands,3
45,United States,3
46,Bolivia,5
47,Botswana,0
48,Brazil,5
49,State of Delaware,3
50,Brunei,2
51,Bulgaria,0
52,Cameroon,0
53,Canada,3
54,Gibraltar,2
55,Grenada,3
56,Guernsey,2
57,Luxembourg,5
58,Marshall Islands,3
59,Saint Vincent and the Grenadines,3
60,US Virgin Islands,3
61,Central African Republic,2
62,Chad,2
63,Chile,5
64,China,0
65,Colombia,5
66,Croatia,3
67,Cuba,2
68,Curaçao,3
69,Czech Republic,2
70,Côte d'Ivoire,5
71,Denmark,1
72,Djibouti,5
73,Dominica,5
74,Dominican Republic,5
75,Ecuador,5
76,Egypt,5
77,El Salvador,5
78,Estonia,2
79,Fiji,3
80,Finland,1
81,France,3
82,French Guiana,2
83,Georgia,0
84,Germany,5
85,Ghana,1
86,Greece,5
87,Guam,2
88,Guatemala,5
89,Guyana,3
90,Haiti,5
91,Honduras,5
92,Labuan,4
93,Thailand,0
94,Hungary,0
95,Iceland,2
96,India,3
97,Indonesia,3
98,Iran,5
99,Ireland,3
100,Israel,0
101,Italy,0
102,Jamaica,3
103,Japan,3
104,Jordan,2
105,Kazakhstan,2
106,Kenya,2
107,Kuwait,5
108,Kyrgyzstan,2
109,Latvia,2
110,Lebanon,0
111,Lesotho,0
112,Libya,5
113,Lithuania,5
114,Macao,2
115,Macedonia,0
116,Malawi,2
117,Malaysia,4
118,Mali,2
119,Mexico,5
120,Moldova,2
121,Monaco,5
122,Mongolia,2
123,Montenegro,2
124,Morocco,0
125,Mozambique,0
126,Namibia,0
127,Nauru,5
128,Nicaragua,5
129,Nigeria,1
130,Norway,3
131,Oman,2
132,Pakistan,3
133,Paraguay,5
134,Peru,5
135,Philippines,3
136,Poland,1
137,Portugal,5
138,Puerto Rico,3
139,Qatar,5
140,Romania,0
141,Russia,1
142,Saint Lucia,3
143,Saint Martin (French part),3
144,Saudi Arabia,3
145,Senegal,0
146,Sierra Leone,3
147,Vanuatu,2
148,Sint Maarten (Dutch part),5
149,Slovakia,5
150,Slovenia,0
151,South Africa,2
152,South Korea,3
153,Spain,5
154,Sri Lanka,2
155,Sudan,5
156,Suriname,3
157,Sweden,1
158,Switzerland,5
159,Syria,1
160,Taiwan,2
161,Tanzania,2
162,Trinidad and Tobago,3
163,Tunisia,2
164,Turkey,2
165,Uganda,2
166,Ukraine,1
167,Dubai,0
168,Uzbekistan,2
169,Venezuela,5
170,Vietnam,3
171,Yemen,5
172,Zambia,2
173,Zimbabwe,2
