,name,community
0,Albania,0
1,Bahamas,1
2,Andorra,1
3,British Virgin Islands,1
4,Cayman Islands,2
5,Costa Rica,1
6,Hong Kong,1
7,Nevada,1
8,Niue,1
9,Panama,1
10,Samoa,1
11,Seychelles,1
12,United Kingdom,1
13,Uruguay,1
14,Angola,3
15,Bermuda,2
16,Antigua and Barbuda,2
17,Barbados,2
18,Saint Kitts and Nevis,2
19,Argentina,1
20,New Zealand,2
21,Aruba,1
22,British Anguilla,1
23,Australia,2
24,Cook Islands,2
25,Isle of Man,1
26,Austria,2
27,Azerbaijan,4
28,Cyprus,1
29,Malta,1
30,Netherlands Antilles,5
31,Wyoming,1
32,Bahrain,6
33,United Arab Emirates,1
34,Bangladesh,7
35,Belarus,8
36,Belgium,1
37,Belize,1
38,Mauritius,1
39,Jersey,1
40,Liberia,2
41,Liechtenstein,1
42,Netherlands,1
43,Singapore,1
44,Turks and Caicos Islands,2
45,United States,2
46,Bolivia,1
47,Botswana,9
48,Brazil,1
49,State of Delaware,2
50,Brunei,10
51,Bulgaria,1
52,Cameroon,11
53,Canada,2
54,Gibraltar,1
55,Grenada,12
56,Guernsey,1
57,Luxembourg,1
58,Marshall Islands,13
59,Saint Vincent and the Grenadines,2
60,US Virgin Islands,14
61,Central African Republic,15
62,Chad,16
63,Chile,1
64,China,1
65,Colombia,1
66,Croatia,17
67,Cuba,18
68,Curaçao,2
69,Czech Republic,1
70,Côte d'Ivoire,1
71,Denmark,2
72,Djibouti,19
73,Dominica,20
74,Dominican Republic,1
75,Ecuador,1
76,Egypt,2
77,El Salvador,1
78,Estonia,1
79,Fiji,21
80,Finland,1
81,France,1
82,French Guiana,22
83,Georgia,23
84,Germany,1
85,Ghana,24
86,Greece,1
87,Guam,25
88,Guatemala,2
89,Guyana,26
90,Haiti,27
91,Honduras,28
92,Labuan,29
93,Thailand,1
94,Hungary,1
95,Iceland,30
96,India,2
97,Indonesia,2
98,Iran,31
99,Ireland,1
100,Israel,1
101,Italy,1
102,Jamaica,32
103,Japan,2
104,Jordan,1
105,Kazakhstan,33
106,Kenya,1
107,Kuwait,1
108,Kyrgyzstan,34
109,Latvia,1
110,Lebanon,1
111,Lesotho,35
112,Libya,36
113,Lithuania,1
114,Macao,37
115,Macedonia,38
116,Malawi,39
117,Malaysia,40
118,Mali,41
119,Mexico,1
120,Moldova,42
121,Monaco,1
122,Mongolia,43
123,Montenegro,44
124,Morocco,45
125,Mozambique,46
126,Namibia,47
127,Nauru,48
128,Nicaragua,49
129,Nigeria,2
130,Norway,2
131,Oman,50
132,Pakistan,51
133,Paraguay,1
134,Peru,2
135,Philippines,2
136,Poland,1
137,Portugal,1
138,Puerto Rico,52
139,Qatar,1
140,Romania,53
141,Russia,1
142,Saint Lucia,54
143,Saint Martin (French part),55
144,Saudi Arabia,2
145,Senegal,56
146,Sierra Leone,57
147,Vanuatu,58
148,Sint Maarten (Dutch part),59
149,Slovakia,60
150,Slovenia,61
151,South Africa,1
152,South Korea,2
153,Spain,1
154,Sri Lanka,62
155,Sudan,63
156,Suriname,64
157,Sweden,2
158,Switzerland,1
159,Syria,65
160,Taiwan,1
161,Tanzania,66
162,Trinidad and Tobago,67
163,Tunisia,68
164,Turkey,1
165,Uganda,69
166,Ukraine,1
167,Dubai,70
168,Uzbekistan,71
169,Venezuela,1
170,Vietnam,2
171,Yemen,72
172,Zambia,73
173,Zimbabwe,74
