node_1,node_2,weight
Albania,Bahamas,4.0
Algeria,British Virgin Islands,2.0
Algeria,United Kingdom,2.0
Algeria,United States,1.0
Andorra,Bahamas,52.0
Andorra,British Virgin Islands,82.0
Andorra,Cayman Islands,2.0
Andorra,Cook Islands,0.5
Andorra,Costa Rica,6.0
Andorra,Hong Kong,18.0
Andorra,Ireland,1.0
Andorra,Latvia,1.0
Andorra,Nevada,48.0
Andorra,Niue,24.0
Andorra,Panama,558.0
Andorra,Russia,2.0
Andorra,Samoa,18.0
Andorra,Seychelles,144.0
Andorra,United Kingdom,2.0
Andorra,Uruguay,30.0
Angola,Bermuda,2.0
Angola,British Virgin Islands,23.0
Angola,China,1.0
Antigua and Barbuda,Barbados,16.0
Antigua and Barbuda,British Virgin Islands,23.5
Antigua and Barbuda,Canada,6.0
Antigua and Barbuda,Cayman Islands,11.0
Antigua and Barbuda,China,30.0
Antigua and Barbuda,Hong Kong,49.0
Antigua and Barbuda,Ireland,3.0
Antigua and Barbuda,Niue,4.0
Antigua and Barbuda,Panama,30.0
Antigua and Barbuda,Russia,2.0
Antigua and Barbuda,Saint Kitts and Nevis,2.0
Antigua and Barbuda,Samoa,2.5
Antigua and Barbuda,Seychelles,6.0
Antigua and Barbuda,United Kingdom,4.0
Antigua and Barbuda,United States,15.0
Antigua and Barbuda,Argentina,1.0
Argentina,Bahamas,46.0
Argentina,Barbados,2.0
Argentina,Belarus,1.0
Argentina,British Virgin Islands,189.0
Argentina,Canada,1.0
Argentina,Cayman Islands,6.0
Argentina,Costa Rica,2.0
Argentina,Hong Kong,19.0
Argentina,Ireland,6.0
Argentina,Nevada,8.0
Argentina,New Zealand,2.0
Argentina,Niue,4.0
Argentina,Panama,294.0
Argentina,Russia,5.0
Argentina,Saint Kitts and Nevis,2.0
Argentina,Seychelles,12.0
Argentina,Switzerland,2.0
Argentina,United Kingdom,8.0
Argentina,United States,2.0
Armenia,British Virgin Islands,8.0
Armenia,China,1.0
Armenia,Hong Kong,1.0
Armenia,Panama,1.0
Armenia,Russia,1.0
Armenia,United Kingdom,4.0
Armenia,United States,1.0
Aruba,Barbados,2.0
Aruba,British Anguilla,8.0
Aruba,British Virgin Islands,38.0
Aruba,Panama,8.0
Australia,Austria,1.0
Australia,Bahamas,4.0
Australia,Barbados,4.0
Australia,Belize,2.0
Australia,Bermuda,84.0
Australia,British Anguilla,2.0
Australia,British Virgin Islands,646.5
Australia,Canada,17.0
Australia,Cayman Islands,15.0
Australia,China,22.0
Australia,Cook Islands,4.0
Australia,Cyprus,31.0
Australia,Czech Republic,1.0
Australia,Germany,1.0
Australia,Hong Kong,165.0
Australia,Ireland,31.0
Australia,Isle of Man,6.0
Australia,Jersey,1.0
Australia,Labuan,0.5
Australia,Latvia,9.0
Australia,Luxembourg,3.0
Australia,Malaysia,1.0
Australia,Netherlands,1.0
Australia,Niue,8.0
Australia,Panama,89.0
Australia,Russia,107.0
Australia,Saint Kitts and Nevis,13.0
Australia,Samoa,1.5
Australia,Seychelles,22.0
Australia,Singapore,4.0
Australia,South Africa,1.0
Australia,Sweden,1.0
Australia,Ukraine,2.0
Australia,United Arab Emirates,9.0
Australia,United Kingdom,151.0
Australia,United States,35.0
Austria,Bahamas,8.0
Austria,Bermuda,8.0
Austria,British Anguilla,2.0
Austria,British Virgin Islands,40.5
Austria,Canada,1.0
Austria,Cayman Islands,4.0
Austria,Cyprus,1.0
Austria,Hong Kong,16.0
Austria,Panama,28.0
Austria,Russia,7.0
Austria,Saint Kitts and Nevis,6.0
Austria,Samoa,2.5
Austria,United Kingdom,7.0
Austria,United States,5.0
Azerbaijan,Bahamas,8.0
Azerbaijan,British Virgin Islands,36.0
Azerbaijan,Canada,1.0
Azerbaijan,China,4.0
Azerbaijan,Cyprus,1.0
Azerbaijan,Hong Kong,6.0
Azerbaijan,Ireland,2.0
Azerbaijan,Netherlands,1.0
Azerbaijan,Panama,2.0
Azerbaijan,Russia,7.0
Azerbaijan,Saint Kitts and Nevis,5.0
Azerbaijan,United Kingdom,8.0
Azerbaijan,United States,2.0
Bahamas,Barbados,104.0
Bahamas,Bermuda,60.0
Bahamas,British Anguilla,90.0
Bahamas,British Virgin Islands,3935.5
Bahamas,Canada,76.0
Bahamas,Cayman Islands,132.0
Bahamas,China,20.0
Bahamas,Cook Islands,2.5
Bahamas,Costa Rica,82.0
Bahamas,Cyprus,1309.0
Bahamas,Gibraltar,301.0
Bahamas,Hong Kong,1976.0
Bahamas,Ireland,55.0
Bahamas,Latvia,105.0
Bahamas,Luxembourg,849.0
Bahamas,Malta,24.0
Bahamas,Netherlands Antilles,2.0
Bahamas,Nevada,582.0
Bahamas,Niue,118.0
Bahamas,Panama,6761.0
Bahamas,Russia,2698.0
Bahamas,Saint Kitts and Nevis,20.0
Bahamas,Saint Lucia,1.5
Bahamas,Samoa,297.0
Bahamas,Seychelles,350.0
Bahamas,Singapore,190.5
Bahamas,United Arab Emirates,1301.0
Bahamas,United Kingdom,2681.0
Bahamas,United States,816.0
Bahamas,Uruguay,638.0
Bahamas,Wyoming,30.0
Bahrain,Bermuda,6.0
Bahrain,British Virgin Islands,34.0
Bahrain,Hong Kong,1.0
Bahrain,Panama,9.0
Bahrain,Russia,5.0
Bahrain,Ukraine,1.0
Bahrain,United Arab Emirates,3.0
Bahrain,United Kingdom,5.0
Bahrain,United States,1.0
Bangladesh,Bermuda,2.0
Bangladesh,British Virgin Islands,33.0
Bangladesh,Cyprus,4.0
Bangladesh,Hong Kong,12.0
Bangladesh,Ireland,2.0
Bangladesh,Latvia,1.0
Bangladesh,Russia,8.0
Bangladesh,United Kingdom,8.0
Barbados,Bermuda,90.0
Barbados,British Virgin Islands,2145.0
Barbados,Cayman Islands,234.0
Barbados,China,3.0
Barbados,Cyprus,11.0
Barbados,Hong Kong,11.0
Barbados,Panama,87.0
Barbados,Russia,3.0
Barbados,Singapore,3.0
Barbados,United Kingdom,283.0
Austria,Belarus,1.0
Belarus,British Virgin Islands,48.5
Belarus,China,3.0
Belarus,Hong Kong,12.0
Belarus,Ireland,1.0
Belarus,Luxembourg,2.0
Belarus,Mauritius,1.0
Belarus,Panama,4.0
Belarus,Russia,3.0
Belarus,Singapore,3.0
Belarus,Ukraine,1.0
Belarus,United Arab Emirates,1.0
Belarus,United Kingdom,5.0
Belarus,United States,5.0
Bahamas,Belgium,16.0
Barbados,Belgium,2.0
Belgium,Bermuda,2.0
Belgium,British Anguilla,2.0
Belgium,British Virgin Islands,94.0
Belgium,Canada,4.0
Belgium,Cayman Islands,1.0
Belgium,China,5.0
Belgium,Cyprus,1.0
Belgium,Hong Kong,13.0
Belgium,Ireland,5.0
Belgium,Isle of Man,2.0
Belgium,Latvia,4.0
Belgium,Luxembourg,1.0
Belgium,Niue,2.0
Belgium,Panama,53.0
Belgium,Russia,16.0
Belgium,Saint Kitts and Nevis,4.0
Belgium,Samoa,2.0
Belgium,Seychelles,11.0
Belgium,United Arab Emirates,1.0
Belgium,United Kingdom,18.0
Belgium,United States,8.0
Bahamas,Belize,500.0
Barbados,Belize,6.0
Belize,British Anguilla,38.0
Belize,British Virgin Islands,423.5
Belize,Canada,6.0
Belize,Cayman Islands,2.0
Belize,China,34.0
Belize,Cyprus,33.0
Belize,Hong Kong,163.0
Belize,Ireland,10.0
Belize,Mauritius,2.0
Belize,Netherlands,2.0
Belize,Niue,456.0
Belize,Panama,931.0
Belize,Russia,37.0
Belize,Saint Kitts and Nevis,4.0
Belize,Samoa,91.0
Belize,Seychelles,353.0
Belize,United Kingdom,30.0
Belize,United States,21.0
Belize,Wyoming,2.0
Benin,British Virgin Islands,1.0
Bermuda,British Virgin Islands,386.5
Bermuda,Canada,160.0
Bermuda,Cayman Islands,76.0
Bermuda,China,159.0
Bermuda,Cook Islands,4.0
Bermuda,Cyprus,23.0
Bermuda,Czech Republic,4.0
Bermuda,Hong Kong,815.0
Bermuda,Ireland,44.0
Bermuda,Jersey,33.0
Bermuda,Latvia,5.0
Bermuda,Liberia,16.0
Bermuda,Liechtenstein,18.0
Bermuda,Netherlands,33.0
Bermuda,Netherlands Antilles,2.0
Bermuda,Panama,54.0
Bermuda,Russia,70.0
Bermuda,Saint Kitts and Nevis,6.0
Bermuda,Samoa,3.5
Bermuda,Seychelles,3.0
Bermuda,Singapore,195.0
Bermuda,South Africa,5.0
Bermuda,Sweden,35.0
Bermuda,Turks and Caicos Islands,4.0
Bermuda,United Arab Emirates,15.0
Bermuda,United Kingdom,461.0
Bermuda,United States,1805.0
Bermuda,Vanuatu,1.0
Bhutan,British Virgin Islands,1.0
Bhutan,Hong Kong,1.0
Bolivia,British Virgin Islands,4.0
Bolivia,Hong Kong,4.0
Bolivia,Panama,182.0
Bosnia and Herzegovina,British Virgin Islands,2.0
Bosnia and Herzegovina,China,1.0
Bosnia and Herzegovina,Hong Kong,1.0
Botswana,British Virgin Islands,5.0
Botswana,Panama,2.0
Botswana,Seychelles,6.0
Botswana,United Kingdom,1.0
Bahamas,Brazil,66.0
Barbados,Brazil,4.0
Bermuda,Brazil,8.0
Brazil,British Anguilla,28.0
Brazil,British Virgin Islands,986.5
Brazil,Canada,1.0
